
IS;8;15;22;
MS;8;16;48;
HS;8;9;21;

IS;16;78;95;
MS;16;47;128;
HS;16;23;52;

IS;24;156;183;
MS;24;80;224;
HS;24;35;87;

IS;32;256;291;
MS;32;126;320;
HS;32;43;119;

IS;100;2608;2708;
MS;100;535;1344;
HS;100;113;387;

IS;100;99;198;
MS;100;316;1344;
HS;100;98;382;

IS;100;4944;5119;
MS;100;371;1344;
HS;100;103;392;

IS;150;6039;6193;
MS;150;902;2188;
HS;150;185;584;

IS;150;149;298;
MS;150;515;2188;
HS;150;148;582;

IS;150;11165;11428;
MS;150;597;2188;
HS;150;146;585;

IS;200;9771;9976;
MS;200;1266;3088;
HS;200;310;784;

IS;200;199;398;
MS;200;732;3088;
HS;200;198;782;

IS;200;19896;20257;
MS;200;823;3088;
HS;200;203;792;

IS;250;15417;15673;
MS;250;1691;3988;
HS;250;370;981;

IS;250;249;498;
MS;250;983;3988;
HS;250;248;976;

IS;250;31117;31569;
MS;250;1035;3988;
HS;250;255;990;

IS;300;20247;20555;
MS;300;2104;4976;
HS;300;460;1182;

IS;300;299;598;
MS;300;1180;4976;
HS;300;298;1182;

IS;300;44839;45371;
MS;300;1342;4976;
HS;300;296;1185;

IS;350;30510;30866;
MS;350;2525;5976;
HS;350;401;1381;

IS;350;349;698;
MS;350;1411;5976;
HS;350;348;1378;

IS;350;61055;61678;
MS;350;1609;5976;
HS;350;346;1381;

IS;400;38804;39211;
MS;400;2957;6976;
HS;400;517;1586;

IS;400;399;798;
MS;400;1664;6976;
HS;400;398;1582;

IS;400;79777;80488;
MS;400;1858;6976;
HS;400;403;1591;

IS;450;49199;49650;
MS;450;3412;7976;
HS;450;633;1784;

IS;450;449;898;
MS;450;1927;7976;
HS;450;448;1780;

IS;450;101002;101793;
MS;450;2120;7976;
HS;450;457;1793;

IS;500;64596;65100;
MS;500;3885;8976;
HS;500;633;1988;

IS;500;499;998;
MS;500;2216;8976;
HS;500;498;1976;

IS;500;124724;125607;
MS;500;2330;8976;
HS;500;504;1988;

IS;550;75125;75680;
MS;550;4312;10052;
HS;550;672;2183;

IS;550;549;1098;
MS;550;2435;10052;
HS;550;548;2182;

